측정소명,오존농도(ppm),미세먼지(㎍/㎥),초미세먼지(㎍/㎥)
정릉로,0.04,23,9
종로,0.042,24,9
종로구,0.049,22,9
중구,0.049,18,9
중랑구,0.048,22,9
천호대로,0.039,31,10
청계천로,0.045,23,10
한강대로,0.033,36,13
항동,0.039,20,4
행주,0.04,22,7
홍릉로,0.04,22,10
화랑로,0.039,30,12
강남구,0.052,28,11
강남대로,0.031,40,11
강동구,0.033,28,9
강변북로,0.029,40,10
강북구,0.046,32,12
강서구,0.044,35,9
공항대로,0.036,36,12
관악구,0.042,32,12
관악산,0.05,35,11
광진구,0.043,30,10
구로구,0.041,40,10
금천구,0.044,29,11
남산,0.051,30,8
노원구,0.041,30,13
도봉구,0.05,32,9
도산대로,0.038,39,12
동대문구,0.047,31,10
동작구,0.044,32,14
동작대로,0.038,46,13
마포구,0.042,30,9
마포아트센터,0.051,34,8
북한산,0.043,27,9
서대문구,0.045,32,8
서울숲,0.042,56,7
서초구,0.041,35,9
성동구,0.046,32,10
성북구,0.04,37,10
세곡,0.035,35,10
송파구,0.041,37,11
시흥대로,0.04,35,13
신촌로,0.031,36,13
양천구,0.041,27,9
영등포구,0.042,29,11
영등포로,0.033,31,11
올림픽공원,0.039,30,11
용산구,0.046,34,13
은평구,0.038,38,14
자연사박물관,0.046,31,8
정릉로,0.036,32,12
종로,0.037,33,10
종로구,0.044,31,10
중구,0.044,24,10
중랑구,0.045,31,10
천호대로,0.033,45,10
청계천로,0.039,32,11
한강대로,0.027,51,19
항동,0.036,28,7
행주,0.038,32,9
홍릉로,0.037,33,11
화랑로,0.03,41,16
강남구,0.039,26,12
강남대로,0.021,38,14
강동구,0.039,27,11
강변북로,0.028,30,10
강북구,0.043,29,14
강서구,0.039,31,10
공항대로,0.028,38,13
관악구,0.037,30,14
관악산,0.045,35,15
광진구,0.043,26,12
구로구,0.037,39,12
금천구,0.035,29,13
남산,0.047,25,9
노원구,0.046,26,15
도봉구,0.046,26,11
도산대로,0.034,32,13
동대문구,0.044,29,12
동작구,0.038,33,18
동작대로,0.028,41,16
마포구,0.038,30,11
마포아트센터,0.046,30,9
북한산,0.042,20,10
서대문구,0.042,29,10
서울숲,0.04,37,8
서초구,0.034,32,13
성동구,0.044,31,13
성북구,0.038,30,11
세곡,0.031,36,14
송파구,0.041,32,15
시흥대로,0.028,35,17
신촌로,0.027,35,15
양천구,0.038,28,12
영등포구,0.035,29,14
영등포로,0.03,32,13
올림픽공원,0.041,28,13
용산구,0.042,31,15
은평구,0.037,27,17
자연사박물관,0.043,26,10
정릉로,0.034,30,14
종로,0.034,29,12
종로구,0.043,26,12
중구,0.043,23,12
중랑구,0.043,30,11
천호대로,0.033,35,13
청계천로,0.036,30,13
한강대로,0.023,51,20
항동,0.034,27,6
행주,0.04,24,8
홍릉로,0.034,30,13
화랑로,0.035,28,13
강남구,0.045,29,13
강남대로,0.025,38,17
강동구,0.044,29,14
강변북로,0.028,34,13
강북구,0.05,29,13
강서구,0.045,35,13
공항대로,0.032,39,17
관악구,0.043,31,15
관악산,0.057,33,15
광진구,0.042,30,13
구로구,0.043,38,14
금천구,0.039,31,14
남산,0.056,28,12
노원구,0.055,29,15
도봉구,0.054,29,12
도산대로,0.042,34,14
동대문구,0.054,32,13
동작구,0.044,32,18
동작대로,0.035,37,17
마포구,0.043,29,13
마포아트센터,0.055,31,11
북한산,0.052,23,10
서대문구,0.052,28,10
서울숲,0.046,41,11
