측정소명,미세먼지(㎍/㎥),오존(ppm),일산화탄소농도(ppm),초미세먼지(㎍/㎥)
서초구,25,0.01,0.4,13
송파구,28,0.01,0.6,18
강동구,36,0.009,0.6,23
중구,28,0.02,0.4,14
종로구,22,0.02,0.4,13
용산구,31,0.015,0.4,10
은평구,20,0.023,0.6,10
서대문구,16,0.02,0.4,11
마포구,19,0.016,0.5,11
광진구,20,0.017,0.4,12
성동구,19,0.023,0.4,11
중랑구,20,0.018,0.4,11
동대문구,19,0.021,0.4,12
성북구,23,0.018,0.7,9
도봉구,15,0.023,0.3,11
강북구,26,0.021,0.4,13
노원구,25,0.022,0.4,16
강서구,23,0.017,0.3,13
구로구,24,0.02,0.3,7
영등포구,18,0.017,0.5,11
동작구,22,0.019,0.4,13
관악구,17,0.017,0.4,9
금천구,23,0.019,0.4,14
양천구,25,0.016,0.5,13
강남구,18,0.02,0.4,12
서초구,20,0.021,0.3,7
송파구,20,0.02,0.5,11
강동구,25,0.019,0.4,15
중구,28,0.023,0.4,12
종로구,19,0.023,0.4,11
용산구,24,0.016,0.4,8
은평구,16,0.023,0.6,8
서대문구,12,0.021,0.3,7
마포구,17,0.016,0.4,8
광진구,16,0.017,0.4,10
성동구,16,0.024,0.4,9
중랑구,16,0.019,0.4,8
동대문구,16,0.022,0.4,10
성북구,20,0.019,0.7,6
도봉구,10,0.028,0.3,9
강북구,19,0.023,0.3,10
노원구,18,0.026,0.4,11
강서구,18,0.022,0.2,9
구로구,21,0.021,0.3,4
영등포구,17,0.018,0.4,9
동작구,23,0.02,0.3,4
관악구,15,0.019,0.4,7
금천구,20,0.022,0.4,11
양천구,22,0.018,0.4,10
강남구,15,0.022,0.4,10
서초구,18,0.021,0.2,6
송파구,17,0.021,0.4,8
강동구,19,0.022,0.4,12
중구,29,0.022,0.4,12
종로구,23,0.023,0.4,12
용산구,32,0.017,0.3,10
은평구,18,0.024,0.5,9
서대문구,15,0.022,0.3,8
마포구,18,0.016,0.4,7
광진구,19,0.017,0.4,11
성동구,16,0.025,0.3,10
중랑구,19,0.019,0.4,10
동대문구,18,0.022,0.4,12
성북구,24,0.02,0.6,8
도봉구,15,0.027,0.3,10
강북구,22,0.023,0.3,11
노원구,21,0.022,0.3,13
강서구,23,0.022,0.2,10
구로구,24,0.022,0.3,5
영등포구,19,0.018,0.4,10
동작구,26,0.02,0.3,12
관악구,18,0.019,0.4,8
금천구,25,0.022,0.4,12
양천구,25,0.019,0.4,12
강남구,17,0.021,0.4,11
서초구,21,0.022,0.2,7
송파구,20,0.021,0.4,11
강동구,22,0.022,0.4,13
중구,42,0.018,0.5,27
종로구,36,0.02,0.6,25
용산구,39,0.013,0.5,22
은평구,30,0.025,0.6,23
서대문구,26,0.02,0.5,14
마포구,30,0.016,0.6,21
광진구,36,0.012,0.6,27
성동구,34,0.019,0.5,25
중랑구,38,0.016,0.5,23
동대문구,33,0.016,0.5,27
성북구,38,0.015,0.8,22
도봉구,34,0.02,0.4,26
강북구,39,0.018,0.5,24
노원구,37,0.023,0.5,29
강서구,37,0.016,0.3,23
구로구,37,0.016,0.4,23
영등포구,33,0.014,0.6,24
동작구,38,0.017,0.5,26
관악구,30,0.015,0.5,20
금천구,37,0.02,0.5,25
양천구,40,0.013,0.6,25
강남구,32,0.015,0.6,27
서초구,33,0.017,0.4,24
송파구,34,0.017,0.5,24
강동구,42,0.017,0.5,31
중구,64,0.023,0.6,39
종로구,56,0.026,0.6,35
용산구,52,0.017,0.5,30
은평구,53,0.022,0.7,35
서대문구,47,0.02,0.7,23
마포구,47,0.018,0.6,32
광진구,52,0.016,0.7,35
성동구,48,0.025,0.6,33
중랑구,57,0.018,0.7,33
동대문구,49,0.022,0.6,37
성북구,57,0.017,0.7,31
도봉구,52,0.025,0.5,38
강북구,61,0.022,0.6,35
노원구,62,0.022,0.7,46
강서구,60,0.021,0.4,33
구로구,55,0.022,0.5,31
영등포구,48,0.018,0.7,34
동작구,59,0.021,0.5,35
관악구,45,0.02,0.6,28
금천구,57,0.021,0.6,36
양천구,61,0.019,0.6,35
강남구,46,0.022,0.6,36
서초구,54,0.021,0.4,33
송파구,51,0.02,0.6,35
강동구,66,0.019,0.6,45
중구,118,0.011,1,84
종로구,109,0.012,1.1,75
용산구,97,0.007,0.9,64
은평구,94,0.01,1,73
서대문구,88,0.009,1.1,44
마포구,89,0.008,1.1,72
광진구,91,0.007,1.1,74
성동구,96,0.01,1,74
중랑구,108,0.008,1,66
동대문구,99,0.011,1.1,81
성북구,104,0.007,1.2,70
도봉구,99,0.011,1,80
강북구,109,0.01,0.9,69
노원구,110,0.008,1.1,90
강서구,114,0.01,0.7,73
구로구,110,0.01,0.8,87
영등포구,101,0.005,1.2,83
동작구,111,0.011,0.9,76
관악구,88,0.01,1,66
금천구,102,0.012,0.9,69
양천구,120,0.008,1.1,75
강남구,93,0.01,1,80
서초구,112,0.009,0.8,86
송파구,90,0.007,1,73
강동구,105,0.008,0.9,80
중구,73,0.009,0.8,49
종로구,63,0.009,0.8,44
용산구,58,0.005,0.7,37
은평구,61,0.011,0.9,46
서대문구,57,0.008,0.8,27
마포구,49,0.007,0.8,41
광진구,52,0.004,0.8,40
성동구,54,0.007,0.7,40
중랑구,62,0.005,0.8,38
동대문구,58,0.008,0.8,48
성북구,72,0.006,0.9,41
도봉구,62,0.009,0.7,47
강북구,69,0.007,0.9,42
노원구,63,0.006,0.8,48
강서구,67,0.01,0.5,41
구로구,63,0.01,0.5,43
영등포구,55,0.009,0.8,44
동작구,60,0.01,0.6,39
관악구,50,0.008,0.7,36
금천구,63,0.008,0.7,44
양천구,69,0.009,0.8,44
강남구,52,0.008,0.8,41
서초구,64,0.009,0.5,45
송파구,51,0.007,0.7,38
강동구,63,0.005,0.7,45
중구,45,0.004,0.7,27
종로구,39,0.005,0.8,25
용산구,40,0.003,0.6,20
은평구,30,0.007,0.7,18
서대문구,28,0.006,0.8,13
마포구,34,0.004,0.7,24
광진구,35,0.002,0.7,24
성동구,34,0.006,0.7,22
중랑구,37,0.005,0.7,20
동대문구,35,0.004,0.7,27
성북구,44,0.005,0.8,21
도봉구,34,0.007,0.6,25
강북구,37,0.007,0.6,20
노원구,41,0.006,0.8,28
강서구,43,0.005,0.4,22
구로구,43,0.006,0.5,23
영등포구,37,0.003,0.8,24
동작구,39,0.005,0.6,21
관악구,30,0.003,0.7,18
금천구,38,0.004,0.7,24
양천구,47,0.004,0.7,26
강남구,34,0.004,0.7,24
서초구,39,0.005,0.6,22
송파구,34,0.005,0.7,23
강동구,46,0.004,0.7,28
중구,26,0.023,0.4,15
종로구,23,0.023,0.4,14
용산구,33,0.015,0.4,12
은평구,19,0.026,0.5,11
서대문구,16,0.023,0.4,9
마포구,22,0.017,0.4,12
